Abbreviation	Definition	AbbrevCount	PhraseCount	Document	Position
ACE	Angiotensin-converting enzyme	48	1	20.treatments	4084
ACE2	angiotensin-converting enzyme 2	41	1	07.pathogenesis	1176
ARBs	angiotensin II receptor blockers	6	1	20.treatments	4093
ARDS	acute respiratory distress syndrome	17	1	02.introduction	3124
AZ	azithromycin	14	4	20.treatments	5097
BALF	bronchoalveolar lavage fluid	4	1	02.introduction	1341
BCG	bacillus Calmette-Guerin	9	1	20.treatments	26038
CD4bs	CD4 binding site	1	1	20.treatments	22294
CEPI	Coalition for Epidemic Preparedness Innovations	1	1	20.treatments	23267
CFR	case fatality rate	4	1	08.transmission	2234
COVID-19	Coronavirus Disease 2019	366	1	02.introduction	35
CQ	Chloroquine	153	2	20.treatments	4601
CRP	C-reactive protein	3	1	20.treatments	15406
CRS	cytokine release syndrome	6	5	07.pathogenesis	4532
CSS	cytokine storm syndrome	7	3	20.treatments	17968
CT	computed tomography	73	1	20.treatments	1381
CVS	cessation of viral shedding	3	1	08.transmission	1425
DAMPs	damage-associated molecular patterns	3	1	20.treatments	17857
DE	Differential expression	8	1	07.pathogenesis	6064
DHA	docosahexaenoic acid	2	1	20.treatments	12267
DOIs	digital object identifiers	1	1	60.methods	379
DSHEA	Dietary Supplement, Health and Education Act	2	1	20.treatments	11670
ECMO	extracorporeal membrane oxygenation	1	1	20.treatments	2552
EFSA	European Food Safety Authority	4	1	20.treatments	11888
EPA	eicosapentaenoic acid	4	1	20.treatments	12261
EUA	Emergency Use Authorization	3	2	20.treatments	1712
FDA	Food and Drug Administration	18	2	20.treatments	1690
FPLC	fast performance liquid chromatography	2	1	20.treatments	24359
HB	hepatitis B	5	2	20.treatments	20707
HCQ	hydroxychloroquine	126	6	20.treatments	4606
HCoV	human coronavirus	26	4	02.introduction	1400
HPIV3	human parainfluenza virus 3	1	1	07.pathogenesis	5912
HPLC	high performance liquid chromatography	1	1	20.treatments	24367
HR	hazard ratio	11	1	20.treatments	2458
IAV	influenza A virus	1	1	07.pathogenesis	5927
ICU	intensive care unit	12	2	08.transmission	4296
ICUs	None	0	0	20.treatments	14082
IEDB	Immune Epitope Database and Analysis Resource	1	1	07.pathogenesis	7033
IFITM3	interferon-induced transmembrane protein 3	1	1	08.transmission	6411
IFN	interferon	27	5	02.introduction	2746
IFR	infection fatality rate	4	2	08.transmission	2299
IL-6	interleukin-6	50	1	20.treatments	4761
ITP	isotachophoresis	4	1	10.diagnostics	2818
IgG	immunoglobulin G	15	1	10.diagnostics	3827
IgM	immunoglobulin M	12	1	10.diagnostics	3808
LNP	lipid nanoparticles	5	1	20.treatments	24197
MAPK	Mitogen-Activated Protein Kinases	1	1	20.treatments	18388
MAVS	mitochondrial antiviral-signaling protein	2	1	20.treatments	12183
MDCK	Madin-Darby Canine Kidney	1	1	20.treatments	950
MERS	Middle East respiratory syndrome	29	2	02.introduction	1415
NHC	N4-hydroxycytidine	1	1	50.discussion	1689
NK	natural killer	2	2	07.pathogenesis	1985
NKRF	NF-Kappa-B-Repressing Factor	1	1	07.pathogenesis	7371
NPV	negative predicted value	1	1	60.methods	1413
NTD	N-terminal domain	4	1	07.pathogenesis	8120
ODSP	Office of Dietary Supplement Programs	1	1	20.treatments	11744
ORF	open reading frame	6	2	20.treatments	24768
PAMP	pathogen-associated molecular pattern	4	1	07.pathogenesis	2031
PBMCs	peripheral blood mononuclear cells	1	1	07.pathogenesis	7319
PCR	None	0	0	50.discussion	370
PI	protease inhibitor	7	3	20.treatments	3078
PPI	protein-protein interaction	1	1	07.pathogenesis	7076
PPV	positive predictive value	1	1	60.methods	1405
PRRs	pattern recognition receptors	4	1	07.pathogenesis	3808
RBD	receptor-binding domain	15	1	20.treatments	21748
RECOVERY	Randomized Evaluation of COVID-19 Therapy	6	1	20.treatments	7923
RSV	respiratory syncytial virus	2	1	07.pathogenesis	5919
RdRP	RNA-dependent RNA polymerase	3	3	20.treatments	800
RoB	risk of bias	1	3	20.treatments	20617
S1-NTD	None	0	0	07.pathogenesis	8120
SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	266	1	02.introduction	230
SEIR	susceptible-exposed-infectious-recovered	3	1	08.transmission	2865
SIR	susceptible-infected-recovered	3	1	08.transmission	2583
SOC	standard of care	23	1	20.treatments	5190
SOFA	Sequential Organ Failure Assessment	4	1	08.transmission	5501
SPM	specialized proresolving mediators	6	1	20.treatments	12363
TCZ	tocilizumab	63	7	20.treatments	17500
TLR	toll-like receptors	14	4	20.treatments	4772
TLR7	None	0	0	20.treatments	12194
TMPRSS2	transmembrane protease serine protease-2	5	1	07.pathogenesis	1459
TNF	tumor necrosis factor	9	2	07.pathogenesis	4573
ViPR	Virus Pathogen Resource	1	1	07.pathogenesis	7042
WHO	World Health Organization	7	1	02.introduction	18
acid	None	0	0	20.treatments	12155
arm	None	0	0	20.treatments	6194
bnAbs	broadly neutralizing antibodies	1	1	20.treatments	22286
cells	None	0	0	07.pathogenesis	1030
dPCR	Digital PCR	21	1	10.diagnostics	1101
dsRNA	double-stranded RNA	6	1	07.pathogenesis	1700
gp13	glycoprotein 130	3	1	20.treatments	18132
hACE2	human ACE2	4	2	07.pathogenesis	7671
humans	None	0	0	02.introduction	1400
kDa	kilodalton	2	1	20.treatments	3231
mAb	monoclonal antibodies	2	4	20.treatments	17496
mg	None	0	0	20.treatments	2020
nAb	neutralizing antibody	12	3	50.discussion	2062
nAbs	None	0	0	20.treatments	17507
nm	None	0	0	07.pathogenesis	375
ssRNA+	single-stranded positive-sense RNA	3	0	07.pathogenesis	729
trials	None	0	0	20.treatments	407
