DateAdded	Title	DOI	Year	Journal/Publisher	Abstract	Keywords	URL	Issue	Reviewers	PRs
2020-04-03	Insight into 2019 novel coronavirus — an updated intrim review and lessons from SARS-CoV and MERS-CoV	https://doi.org/10.1016/j.ijid.2020.03.071	2020	International Journal of Infectious Diseases	Background The rapid spread of the coronavirus disease 2019 (COVID-19), caused by a zoonotic beta-coronavirus entitled 2019 novel coronavirus (2019-nCoV), has become a global threat. Awareness of the biological features of 2019-nCoV should be updated in time and needs to be comprehensively summarized to help optimize control measures and make therapeutic decisions. Methods Based on recently published literatures, official documents and selected up-to-date preprint studies, we reviewed the virology and origin, epidemiology, clinical manifestations, pathology and treatment of 2019-nCoV infection, in comparison with severe acute respiratory syndrome coronavirus (SARS-CoV) and middle east respiratory syndrome coronavirus (MERS-CoV) infection. Results The genome of 2019-nCoV partially resembled SARS-CoV and MERS-CoV, and indicating a bat origin. The COVID-19 generally had a high reproductive number, a long incubation period, a short serial interval and a low case fatality rate (much higher in patients with comorbidities) than SARS and MERS. Clinical presentation and pathology of COVID-19 greatly resembled SARS and MERS, with less upper respiratory and gastrointestinal symptoms, and more exudative lesions in post-mortems. Potential treatments included remdesivir, chloroquine, tocilizumab, convalescent plasma and vaccine immunization (when possible). Conclusion The initial experience from the current pandemic and lessons from the previous two pandemics can help improve future preparedness plans and combat disease progression.	NA	http://www.sciencedirect.com/science/article/pii/S1201971220302046			
2020-04-03	Harmonizing heterogeneous endpoints in COVID-19 trials without loss of information - an essential step to facilitate decision making	10.1101/2020.03.31.20049007	2020	medRxiv	Background: Many trials are now underway to inform decision-makers on potential effects of treatments for COVID-19. To provide sufficient information for all involved decision-makers (clinicians, public health authorities, drug regulatory agencies) a multiplicity of endpoints must be considered. It is a challenge to generate detailed high quality evidence from data while ensuring fast availability and evaluation of the results. Methods: We reviewed all interventional COVID-19 trials on Remdesivir, Lopinavir/ritonavir and Hydroxychloroquine registered in the National Library of Medicine (NLM) at the National Institutes of Health (NIH) and summarized the endpoints used to assess treatment effects. We propose a multistate model that harmonizes heterogeneous endpoints and differing lengths of follow-up within and between trials. Results: There are currently, March 27, 2020, 23 registered interventional trials investigating the potential benefits of Remdesivir, Lopinavir/ritonavir and Hydroxychloroquine. The endpoints are highly heterogeneous. Follow-up for the primary endpoints ranges from four to 168 days. A detailed precisely defined endpoint has been proposed by the global network REMAP-CAP, which is specialized on community-acquired pneumonia. Their seven-category endpoint accounts for major clinical events informative for all decision-makers. Moreover, the Core Outcome Measures in Effectiveness Trials (COMET) Initiative is currently working on a core outcome set. We propose a multistate model that accommodates analysis of these recommended endpoints. The model allows for a detailed investigation of treatment effects for various endpoints over the course of time thereby harmonizing differing endpoints and lengths of follow-up. Conclusion: Multistate model analysis is a powerful tool to study clinically heterogeneous endpoints (mortality, discharge) as well as endpoints influencing hospital capacities (duration of hospitalization and ventilation) simultaneously over time. Our proposed model extracts all information available in the data and is - by harmonizing endpoints within and between trials - a step towards faster decision making. All ongoing clinical trials, especially those with severe cases, should accommodate primary analysis with a stacked probability plot of the major events mechanical ventilation, discharge alive and death.Competing Interest StatementThe authors have declared no competing interest.Funding StatementMvC has been funded by the EQUIP Medical Scientists Programme of the University of Freiburg.Author DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.Yesnot applicable	NA	http://medrxiv.org/content/early/2020/04/03/2020.03.31.20049007.abstract			
2020-04-03	[Remdesivir, the antiviral hope against SARS-CoV-2]	https://dx.doi.org/10.37201/req/098.2020	2020	Revista Espanola de Quimioterapia	On December 31, 2019 a pneumonia outbreak caused by a new coronavirus (SARS-CoV-2) was detected in the city of Wuhan (China). Due to the high capacity of diffusion and human infection it has become a new zoonotic pandemic. The absence of a vaccine has determined the search for antiviral drugs with the capacity to inhibit the replication of the new virus. Among them, remdesivir, an analogue of adenosine, is what seems to have a more promising future. This drug has shown in vitro and in animals a high capacity to block infection and viral replication with attainable concentrations in human plasma. Although all studies have been carried out with SARS-CoV and MERS-CoV, it seems that by virological and functional analogy, remdesivir is one of the few antiviral drugs with proven efficacy. However, studies and clinical trials in humans are required to know the result of their application in them.	NA	http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=medp&AN=32239125; http://sfx.library.cdc.gov/cdc?sid=OVID:medline&id=pmid:32239125&id=10.37201%2Freq%2F098.2020&issn=0214-3429&isbn=&volume=&issue=&spage=&pages=&date=2020&title=Revista+Espanola+de+Quimioterapia&atitle=Remdesivir%2C+la+esperanza+antiviral+frente+al+SARS-CoV-2.&aulast=Reina&pid=%3Cauthor%3EReina+J%3C%2Fauthor%3E&%3CAN%3E32239125%3C%2FAN%3E&%3CDT%3EEnglish+Abstract%3C%2FDT%3E			
2020-04-03	Characterization and treatment of SARS-CoV-2 in nasal and bronchial human airway epithelia	10.1101/2020.03.31.017889	2020	bioRxiv	In the current COVID-19 pandemic context, proposing and validating effective treatments represents a major challenge. However, the lack of biologically relevant pre-clinical experimental models of SARS-CoV-2 infection as a complement of classic cell lines represents a major barrier for scientific and medical progress. Here, we advantageously used human reconstituted airway epithelial models of nasal or bronchial origin to characterize viral infection kinetics, tissue-level remodeling of the cellular ultrastructure and transcriptional immune signatures induced by SARS-CoV-2. Our results underline the relevance of this model for the preclinical evaluation of antiviral candidates. Foremost, we provide evidence on the antiviral efficacy of remdesivir and the therapeutic potential of the remdesivir-diltiazem combination as a rapidly available option to respond to the current unmet medical need imposed by COVID-19.	NA	http://biorxiv.org/content/early/2020/04/02/2020.03.31.017889.abstract			
2020-04-03	Identification of Chymotrypsin-like Protease Inhibitors of SARS-CoV-2 Via Integrated Computational Approach	https://dx.doi.org/10.1080/07391102.2020.1751298	2020	Journal of Biomolecular Structure & Dynamics	Recently, the world has witnessed outbreak of a novel Coronavirus (SARS-CoV-2), the virus which initially emerged in Wuhan, China has now made its way to a large part of the world, resulting in a public emergency of international concern. The functional importance of Chymotrypsin-like protease (3CL sup pro /sup ) in viral replication and maturation turns it into an attractive target for the development of effective antiviral drugs against SARS and other coronaviruses. At present, there is no standard drug regime nor any vaccine available against the infection. The rapid development and identification of efficient interventions against SARS-CoV-2 remains a major challenge. Based on the available knowledge of closely related coronavirus and their safety profiles, repurposing of existing antiviral drugs and screening of available databases is considered a near term strategic and economic way to contain the SARS-CoV-2 pandemic. Herein, we applied computational drug design methods to identify Chymotrypsin-like protease inhibitors from FDA approved antiviral drugs and our in-house database of natural and drug-like compounds of synthetic origin. As a result three FDA approved drugs ( Remdesivir, Saquinavir and Darunavir) and two natural compounds (. flavone and coumarine derivatives) were identified as promising hits. Further, MD simulation and binding free energy calculations were performed to evaluate the dynamic behavior, stability of protein-ligand contact, and binding affinity of the hit compounds. Our results indicate that the identified compounds can inhibit the function of Chymotrypsin-like protease (3CL sup pro /sup ) of Coronavirus. Considering the severity of the spread of coronavirus, the current study is in-line with the concept of finding the new inhibitors against the vital pathway of the corona virus to expedite the process of drug discovery.	NA	http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=medp&AN=32238094; http://sfx.library.cdc.gov/cdc?sid=OVID:medline&id=pmid:32238094&id=10.1080%2F07391102.2020.1751298&issn=0739-1102&isbn=&volume=&issue=&spage=1&pages=1-13&date=2020&title=Journal+of+Biomolecular+Structure+%26+Dynamics&atitle=Identification+of+Chymotrypsin-like+Protease+Inhibitors+of+SARS-CoV-2+Via+Integrated+Computational+Approach.&aulast=Khan&pid=%3Cauthor%3EKhan+SA%2CZia+K%2CAshraf+S%2CUddin+R%2CUl-Haq+Z%3C%2Fauthor%3E&%3CAN%3E32238094%3C%2FAN%3E&%3CDT%3EJournal+Article%3C%2FDT%3E			
2020-04-03	Remdesivir for severe acute respiratory syndrome coronavirus 2 causing COVID-19: An evaluation of the evidence	https://doi.org/10.1016/j.tmaid.2020.101647	2020	Travel Medicine & Infectious Disease	The novel coronavirus infection that initially found at the end of 2019 has attracted great attention. So far, the number of infectious cases has increased globally to more than 100 thousand and defined as a pandemic situation, but there are still no “specific drug” available. Relevant reports have pointed out the novel coronavirus has 80% homology with SARS. In the difficulty where new synthesized drug cannot be applied immediately to patients, “conventional drug in new use” has become a feasible solution. The first medication experience of the recovered patients in the US has led remdesivir to be the “specific drug”. China has also taken immediate action to put remdesivir into clinical trials with the purpose of applying it into clinical therapeutics for Corona Virus Disease 2019 (COVID-19). We started from the structure, immunogenicity, and pathogenesis of coronavirus infections of the novel coronavirus. Further, we analyzed the pharmacological actions and previous trials of remdesivir to identify the feasibility of conducting experiments on COVID-19.	NA	http://www.sciencedirect.com/science/article/pii/S1477893920301162			
2020-04-02	Predicting commercially available antiviral drugs that may act on the novel coronavirus (SARS-CoV-2) through a drug-target interaction deep learning model	https://doi.org/10.1016/j.csbj.2020.03.025	2020	Computational and Structural Biotechnology Journal	The infection of a novel coronavirus found in Wuhan of China (SARS-CoV-2) is rapidly spreading, and the incidence rate is increasing worldwide. Due to the lack of effective treatment options for SARS-CoV-2, various strategies are being tested in China, including drug repurposing. In this study, we used our pre-trained deep learning-based drug-target interaction model called Molecule Transformer-Drug Target Interaction (MT-DTI) to identify commercially available drugs that could act on viral proteins of SARS-CoV-2. The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing an inhibitory potency with Kd of 94.94 nM against the SARS-CoV-2 3C-like proteinase, followed by remdesivir (113.13 nM), efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM). Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases. However, in our prediction, they may also bind to the replication complex components of SARS-CoV-2 with an inhibitory potency with Kd   1,000 nM. In addition, we also found that several antiviral agents, such as Kaletra (lopinavir/ritonavir), could be used for the treatment of SARS-CoV-2. Overall, we suggest that the list of antiviral drugs identified by the MT-DTI model should be considered, when establishing effective treatment strategies for SARS-CoV-2.	NA	http://www.sciencedirect.com/science/article/pii/S2001037020300490			
2020-04-02	Comparative Computational Study of SARS-CoV-2 Receptors Antagonists from Already Approved Drugs	10.26434/chemrxiv.12044538.v2	2020	chemRxiv	According to the World Health Organisation, on March 27, 2020, the number of confirmed cases of COVID-19 has already exceeded 509.000 with about of 23.000 deaths worldwide. Given this, the impact of COVID-19 on humanity cannot be overlooked, and basic research are urgently needed. This research aims to find antagonists already approved for another diseases, that may inhibit activity of the main protease  i (Mpro) /i  of the SARS-CoV-2 virus, as well as modulate the  i ACE2 /i  receptors, largely found in lung cells and reduce viral replication by inhibiting  i NSP12 RNA Polymerase /i . Docking molecular simulations were realized among a total of  i 28 ligands /i  published in the literature against COVID-19. Docking studies were made with algorithm of  i AutoDock Vina 1.1.2 /i  software. A structure-based virtual screening was performed with  i MTiOpenScreen /i . Subsequently, the physical-chemical and pharmacokinetic parameters were analyzed with  i SwissADME /i  in order to select only the most promising ones. Finally, simulations of molecular dynamics with elapsed time of  i 4 nanoseconds /i  (ns) were analysed in order to better understand the action of drugs to the detriment of the limitations of molecular docking. This work has shown that, in comparative terms,  i Simeprevir /i ,  i Paritaprevir /i ,  i Remdesivir /i  and  i Baricitinib /i  are currently among the most promising in remission of symptoms from the disease.  i Hydroxy-chloroquine /i ,  i Chloroquine /i  and  i Azithromicin /i  were not showed effective, as monotherapies, against COVID-19 or  i lung cell /i  receptors. Nevertheless, it has not been able to reach conclusive results due to the limitations of computational techniques that do not take into account numerous empirical parameters.	SARS-CoV-2; ACE2 antagonists; Remdesivir; Molecular Docking; Molecular Dynamics; Virtual Screening; ADME	https://chemrxiv.org/articles/Comparative_Computational_Study_of_SARS-CoV-2_Receptors_Antagonists_from_Already_Approved_Drugs/12044538			
2020-04-01	Clinical trials on drug repositioning for COVID-19 treatment	NA	2020	NA	[ABSTRACT]. The World Health Organization (WHO) was informed on December 2019 about a coronavirus pneumonia outbreak in Wuhan, Hubei province (China). Subsequently, on March 12, 2020, 125,048 cases and 4,614 deaths were reported. Coronavirus is an enveloped RNA virus, from the genus Betacoronavirus, that is distributed in birds, humans, and other mammals. WHO has named the novel coronavirus disease as COVID-19. More than 80 clinical trials have been launched to test coronavirus treatment, including some drug repurposing or repositioning for COVID-19. Hence, we performed a search in March 2020 of the clinicaltrials.gov database. The eligibility criteria for the retrieved studies were: contain a clinicaltrials.gov base identifier number; describe the number of participants and the period for the study; describe the participants&#039; clinical conditions; and utilize interventions with medicines already studied or approved for any other disease in patients infected with the novel coronavirus SARS-CoV-2 (2019-nCoV). It is essential to emphasize that this article only captured trials listed in the clinicaltrials.gov database. We identified 24 clinical trials, involving more than 20 medicines, such as human immunoglobulin, interferons, chloroquine, hydroxychloroquine, arbidol, remdesivir, favipiravir, lopinavir, ritonavir, oseltamivir, methylprednisolone, bevacizumab, and traditional Chinese medicines (TCM). Although drug repurposing has some limitations, repositioning clinical trials may represent an attractive strategy because they facilitate the discovery of new classes of medicines; they have lower costs and take less time to reach the market; and there are existing pharmaceutical supply chains for formulation and distribution.; [RESUMEN]. En diciembre de 2019 fue informado a la Organización Mundial de la Salud (OMS) un brote de neumonía por coronavirus en Wuhan, provincia de Hubei, China. Al 12 de marzo de 2020, se habían notificado 125 048 casos y 4 614 muertes. El coronavirus es un virus ARN envuelto del género Betacoronavirus distribuido en aves, seres humanos y otros mamíferos. La OMS ha denominado a la nueva enfermedad por coronavirus COVID- 19. Se han puesto en marcha más de 80 ensayos clínicos para evaluar un tratamiento para el coronavirus, que incluyen algunos ensayos de reposicionamiento de medicamentos para la COVID-19. En marzo de 2020 se llevó a cabo una búsqueda de los ensayos clínicos registrados en la base de datos clinicaltrials.gov. Los criterios de elegibilidad para los estudios recuperados fueron tener un número de identificación de la base de datos clinicaltrials.gov; describir el número de participantes y el período del estudio; describir las condiciones clínicas de los participantes; y emplear intervenciones con medicamentos ya estudiados o aprobados para cualquier otra enfermedad en pacientes infectados con el nuevo coronavirus SARS-CoV-2 (2019-nCoV). Es esencial destacar que este artículo solo recoge los ensayos que figuran en la base de datos clinicaltrials. gov. Se identificaron 24 ensayos clínicos relacionados con más de 20 medicamentos, como inmunoglobulina humana, interferones, cloroquina, hidroxicloroquina, arbidol, remdesivir, favipiravir, lopinavir, ritonavir, oseltamivir, metilprednisolona, bevacizumab y medicina tradicional china. Aunque el reposicionamiento de medicamentos tiene algunas limitaciones, el reposicionamiento de los ensayos clínicos puede representar una estrategia atractiva porque facilita el descubrimiento de nuevas clases de medicamentos; estos tienen costos más bajos y tardan menos en llegar al mercado; y existen cadenas de suministro farmacéutico que apoyan la formulación y la distribución.; [RESUMO]. A Organização Mundial da Saúde (OMS) foi informada, em dezembro de 2019, sobre um surto de pneumonia por coronavírus em Wuhan, província de Hubei (China). Posteriormente, em 12 de março de 2020, 125 048 casos e 4 614 mortes haviam sido registrados. O coronavírus é um vírus RNA envelopado do gênero Betacoronavírus, distribuído em aves e em humanos e outros mamíferos. A OMS designou a nova doença por coronavírus como COVID-19. Mais de 80 ensaios clínicos foram iniciados para testar tratamentos para o coronavírus, incluindo alguns de reposicionamento de medicamentos para o COVID-19. Assim, em março de 2020 realizou-se uma busca na base de dados clinicaltrials.gov. Os critérios de elegibilidade para os estudos recuperados foram: conter o número identificador da base de dados clinicaltrials.gov; descrever o número de participantes e o período do estudo; descrever as condições clínicas dos participantes; e utilizar intervenções para tratamento de doentes infectados com o novo coronavírus SARS-CoV-2 (2019-nCoV) com medicamentos já estudados ou aprovados para qualquer outra doença. É essencial salientar que este artigo apenas capturou ensaios listados na base de dados clinicaltrials.gov. Foram identificados 24 ensaios clínicos envolvendo mais de 20 medicamentos, tais como imunoglobulina humana, interferons, cloroquina, hidroxicloroquina, arbidol, remdesivir, favipiravir, lopinavir, ritonavir, oseltamivir, metilprednisolona, bevacizumabe e medicamentos chineses tradicionais. Embora o reposicionamento de medicamentos tenha algumas limitações, os ensaios clínicos de reposicionamento podem representar uma estratégia atraente, porque facilitam a descoberta de novas classes de medicamentos, têm custos mais baixos, levam menos tempo para chegar ao mercado e se beneficiam de cadeias de fornecimento farmacêutico já existentes para formulação e distribuição.	Reposicionamento de Medicamentos; Ensaios Clínicos como Assunto; Infecções por Coronavirus; Viroses; Pneumonia; Pandemias; Pneumonia Viral	https://iris.paho.org/handle/10665.2/51949			
2020-03-30	Controversial treatments: an updated understanding of the Coronavirus Disease 2019	10.1002/jmv.25788	2020	Journal of Medical Virology	An outbreak of severe acute respiratory syndrome-related coronavirus 2 (SARS-CoV-2) infection has posed significant threats to international health and the economy. In the absence of specific treatment for this virus, there is an urgent need to learn from the experience and lessons in China. To reduce the case-fatality rate among COVID-19 patients, we should not ignore the complications, such as RNAaemia, acute respiratory distress syndrome, and multiple organ dysfunction. To help understand the advantages and limitations of differential treatments, we provide a timely review and discuss the complications and corresponding major treatments, especially controversial ones such as antiviral therapy (remdesivir, ribavirin, chloroquine), glucocorticoid therapy, extracorporeal support including an artificial liver system (ALS) and extracorporeal membrane oxygenation (ECMO), based on available evidence. As a result, we suggest that antiviral therapy and organ function support are vital to reduce mortality for mild patients and critical patients, respectively. This article is protected by copyright. All rights reserved.	Covid-19; SARS-CoV-2; coronavirus; literature review; pneumonia; treatment	NA			
