DateAdded	Title	DOI	Year	Journal/Publisher	Abstract	Keywords	URL	Issue	Reviewers	PRs
2020-04-03	Coronavirus disease 2019 (COVID-19): a clinical update	10.1007/s11684-020-0767-8	2020	Frontiers of Medicine	Coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) has posed a significant threat to global health. It caused a total of 80 868 confirmed cases and 3101 deaths in Chinese mainland until March 8, 2020. This novel virus spread mainly through respiratory droplets and close contact. As disease progressed, a series of complications tend to develop, especially in critically ill patients. Pathological findings showed representative features of acute respiratory distress syndrome and involvement of multiple organs. Apart from supportive care, no specific treatment has been established for COVID-19. The efficacy of some promising antivirals, convalescent plasma transfusion, and tocilizumab needs to be investigated by ongoing clinical trials.	clinical characteristics; coronavirus disease 2019; epidemiology; pathology; radiology; treatment	NA			
2020-04-03	Insight into 2019 novel coronavirus — an updated intrim review and lessons from SARS-CoV and MERS-CoV	https://doi.org/10.1016/j.ijid.2020.03.071	2020	International Journal of Infectious Diseases	Background The rapid spread of the coronavirus disease 2019 (COVID-19), caused by a zoonotic beta-coronavirus entitled 2019 novel coronavirus (2019-nCoV), has become a global threat. Awareness of the biological features of 2019-nCoV should be updated in time and needs to be comprehensively summarized to help optimize control measures and make therapeutic decisions. Methods Based on recently published literatures, official documents and selected up-to-date preprint studies, we reviewed the virology and origin, epidemiology, clinical manifestations, pathology and treatment of 2019-nCoV infection, in comparison with severe acute respiratory syndrome coronavirus (SARS-CoV) and middle east respiratory syndrome coronavirus (MERS-CoV) infection. Results The genome of 2019-nCoV partially resembled SARS-CoV and MERS-CoV, and indicating a bat origin. The COVID-19 generally had a high reproductive number, a long incubation period, a short serial interval and a low case fatality rate (much higher in patients with comorbidities) than SARS and MERS. Clinical presentation and pathology of COVID-19 greatly resembled SARS and MERS, with less upper respiratory and gastrointestinal symptoms, and more exudative lesions in post-mortems. Potential treatments included remdesivir, chloroquine, tocilizumab, convalescent plasma and vaccine immunization (when possible). Conclusion The initial experience from the current pandemic and lessons from the previous two pandemics can help improve future preparedness plans and combat disease progression.	NA	http://www.sciencedirect.com/science/article/pii/S1201971220302046			
2020-04-03	Associations between immune-suppressive and stimulating drugs and novel COVID-19—a systematic review of current evidence	10.3332/ecancer.2020.1022	2020	ecancermedicalscience	BACKGROUND: Cancer and transplant patients with COVID-19 have a higher risk of developing severe and even fatal respiratory diseases, especially as they may be treated with immune-suppressive or immune-stimulating drugs. This review focuses on the effects of these drugs on host immunity against COVID-19. METHODS: Using Ovid MEDLINE, we reviewed current evidence for immune-suppressing or -stimulating drugs: cytotoxic chemotherapy, low-dose steroids, tumour necrosis factorα (TNFα) blockers, interlukin-6 (IL-6) blockade, Janus kinase (JAK) inhibitors, IL-1 blockade, mycophenolate, tacrolimus, anti-CD20 and CTLA4-Ig. RESULTS: 89 studies were included. Cytotoxic chemotherapy has been shown to be a specific inhibitor for severe acute respiratory syndrome coronavirus in in vitro studies, but no specific studies exist as of yet for COVID-19. No conclusive evidence for or against the use of non-steroidal anti-inflammatory drugs (NSAIDs) in the treatment of COVID-19 patients is available, nor is there evidence indicating that TNFα blockade is harmful to patients in the context of COVID-19. COVID-19 has been observed to induce a pro-inflammatory cytokine generation and secretion of cytokines, such as IL-6, but there is no evidence of the beneficial impact of IL-6 inhibitors on the modulation of COVID-19. Although there are potential targets in the JAK-STAT pathway that can be manipulated in treatment for coronaviruses and it is evident that IL-1 is elevated in patients with a coronavirus, there is currently no evidence for a role of these drugs in treatment of COVID-19. CONCLUSION: The COVID-19 pandemic has led to challenging decision-making about treatment of critically unwell patients. Low-dose prednisolone and tacrolimus may have beneficial impacts on COVID-19. The mycophenolate mofetil picture is less clear, with conflicting data from pre-clinical studies. There is no definitive evidence that specific cytotoxic drugs, low-dose methotrexate for auto-immune disease, NSAIDs, JAK kinase inhibitors or anti-TNFα agents are contraindicated. There is clear evidence that IL-6 peak levels are associated with severity of pulmonary complications.	immune modulation; immune suppression; cancer; COVID-19; adverse events	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7105343/			
2020-04-03	Tocilizumab, an anti-IL6 receptor antibody, to treat Covid-19-related respiratory failure: a case report	https://doi.org/10.1016/j.annonc.2020.03.300	2020	Annals of Oncology	NA	NA	http://www.sciencedirect.com/science/article/pii/S0923753420363870			
2020-04-03	Virus-host interactome and proteomic survey of PMBCs from COVID-19 patients reveal potential virulence factors influencing SARS-CoV-2 pathogenesis	10.1101/2020.03.31.019216	2020	bioRxiv	The ongoing coronavirus disease (COVID-19) pandemic caused by Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) is a global public health concern due to relatively easy person-to-person transmission and the current lack of effective antiviral therapy. However, the exact molecular mechanisms of SARS-CoV-2 pathogenesis remain largely unknown. We exploited an integrated proteomics approach to systematically investigate intra-viral and virus-host interactomes for the identification of unrealized SARS-CoV-2 host targets and participation of cellular proteins in the response to viral infection using peripheral blood mononuclear cells (PBMCs) isolated from COVID-19 patients. Using this approach, we elucidated 251 host proteins targeted by SARS-CoV-2 and more than 200 host proteins that are significantly perturbed in COVID-19 derived PBMCs. From the interactome, we further identified that non-structural protein nsp9 and nsp10 interact with NKRF, a NF-kB repressor, and may precipitate the strong IL-8/IL-6 mediated chemotaxis of neutrophils and overexuberant host inflammatory response observed in COVID-19 patients. Our integrative study not only presents a systematic examination of SARS-CoV-2-induced perturbation of host targets and cellular networks to reflect disease etiology, but also reveals insights into the mechanisms by which SARS-CoV-2 triggers cytokine storms and represents a powerful resource in the quest for therapeutic intervention.	NA	http://biorxiv.org/content/early/2020/04/02/2020.03.31.019216.abstract			
2020-04-03	Efficacy and Safety of Tocilizumab in the Treatment of SARS-Cov-2 Related Pneumonia	NA	2020	NA	NA	covid-19 pneumonia	https://ClinicalTrials.gov/show/NCT04332913			
2020-04-03	Interleukin-6 in COVID-19: A Systematic Review and Meta-Analysis	10.1101/2020.03.30.20048058	2020	medRxiv	Purpose: Coronaviruses may activate dysregulated host immune responses. As exploratory studies have suggested that interleukin-6 (IL-6) levels are elevated in cases of complicated COVID-19 and that the anti-IL-6 biologic tocilizumab may be beneficial, we undertook a systematic review and meta-analysis to assess the evidence in this field. Methods: We systematically searched MEDLINE and EMBASE for studies investigating the immunological response in COVID-19 or its treatment with tocilizumab; additional grey literature searches were undertaken. Meta-analysis was undertaken using random effects models. Results: Eight published studies, three pre-prints, and five registered trials were eligible. Meta-analysis of mean IL-6 concentrations demonstrated 2.9-fold higher levels in patients with complicated COVID-19 compared with patients with non-complicated disease (six studies; n=1302; 95%CI, 1.17-7.19; I2=100%). A single non-randomized, single-arm study assessed tocilizumab in patients with severe COVID-19, demonstrating decreased oxygen requirements, resolution of radiographic abnormalities, and clinical improvement. No adverse events or deaths were observed. Conclusions: In patients with COVID-19, IL-6 levels are significantly elevated and associated with adverse clinical outcomes. While inhibition of IL-6 with tocilizumab appears to be efficacious and safe in preliminary investigation, the results of several ongoing clinical trials should be awaited to better define the role of tocilizumab in COVID-19 prior to routine clinical application.Competing Interest StatementThe authors have declared no competing interest.Clinical TrialPROSPERO Registration  CRD42020175879Clinical Protocolshttps://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42020175879Funding StatementNone.Author DeclarationsAll relevant ethical guidelines have been followed; any necessary IRB and/or ethics committee approvals have been obtained and details of the IRB/oversight body are included in the manuscript.YesAll necessary patient/participant consent has been obtained and the appropriate institutional forms have been archived.YesI understand that all clinical trials and any other prospective interventional studies must be registered with an ICMJE-approved registry, such as ClinicalTrials.gov. I confirm that any such study reported in the manuscript has been registered and the trial registration ID is provided (note: if posting a prospective study registered retrospectively, please provide a statement in the trial ID field explaining why the study was not registered in advance).Yes I have followed all appropriate research reporting guidelines and uploaded the relevant EQUATOR Network research reporting checklist(s) and other pertinent material as supplementary files, if applicable.YesThis study meta-analyzes study-level data from peer-reviewed, published research and cites these sources within the manuscript. The data can thus be accessed from the cited studies.	NA	http://medrxiv.org/content/early/2020/04/03/2020.03.30.20048058.abstract			
2020-04-03	Recommendations for coronavirus infection in rheumatic diseases treated with biologic therapy	https://doi.org/10.1016/j.jaut.2020.102442	2020	Journal of Autoimmunity	The Coronavirus-associated disease, that was first identified in 2019 in China (CoViD-19), is a pandemic caused by a bat-derived beta-coronavirus, named SARS-CoV2. It shares homology with SARS and MERS-CoV, responsible for past outbreaks in China and in Middle East. SARS-CoV2 spread from China where the first infections were described in December 2019 and is responsible for the respiratory symptoms that can lead to acute respiratory distress syndrome. A cytokine storm has been shown in patients who develop fatal complications, as observed in past coronavirus infections. The management includes ventilatory support and broad-spectrum antiviral drugs, empirically utilized, as a targeted therapy and vaccines have not been developed. Based upon our limited knowledge on the pathogenesis of CoViD-19, a potential role of some anti-rheumatic drugs may be hypothesized, acting as direct antivirals or targeting host immune response. Antimalarial drugs, commonly used in rheumatology, may alter the lysosomal proteases that mediates the viral entry into the cell and have demonstrated efficacy in improving the infection. Anti-IL-1 and anti-IL-6 may interfere with the cytokine storm in severe cases and use of tocilizumab has shown good outcomes in a small cohort. Baricitinib has both antiviral and anti-inflammatory properties. Checkpoints inhibitors such as anti-CD200 and anti-PD1 could have a role in the treatment of CoViD-19. Rheumatic disease patients taking immunosuppressive drugs should be recommended to maintain the chronic therapy, prevent infection by avoiding social contacts and pausing immunosuppressants in case of infection. National and international registries are being created to collect data on rheumatic patients with CoViD-19.	NA	http://www.sciencedirect.com/science/article/pii/S089684112030055X			
2020-04-02	Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis	NA	2020	NA	NA	covid-19	https://ClinicalTrials.gov/show/NCT04331795			
2020-04-02	Inhibition of kidney disease relapse by targeted cytokine depletion	NA	2020	NA	Described herein are methods for inhibiting the acute relapse or worsening of glomerular disease in response to viral infections associated with the common cold or flu comprising administration of anti-cytokine antibodies, anti-receptor antibodies, soluble receptors, or blocking agents to a subject in need thereof. Also described are methods for depleting a subject's systemic levels of one or more of cytokines IL-2, IL-6, IL-10, INF-γ, or TNFα, or inhibiting the receptors IL-4R or ICAM-1 comprising contacting the cytokines or receptors with one or more anti-cytokine antibodies, anti-receptor antibodies, soluble receptors, or blocking agents.	NA	SciFinder			
